ID,数学,英語,理科,学習時間,性別,クラス,満足度,感想
1,78,82,75,12.5,男性,A,高,タブレットを使った授業がとても分かりやすかった。
2,65,70,60,8.0,女性,B,中,オンライン教材で英語のリスニング力が上がった気がする。
3,92,88,95,15.0,男性,A,高,プログラミングの授業が楽しくて、もっとやりたい。
4,55,60,58,5.5,女性,C,低,デジタル教材は自分のペースで進められるのが良い。
5,80,85,82,13.0,男性,B,高,ICTを使ったグループワークで発表が上手くなった。
6,72,75,70,10.0,女性,A,中,タブレットの操作に慣れるまで少し時間がかかった。
7,88,90,85,14.5,男性,C,高,動画教材のおかげで実験の手順がよく理解できた。
8,60,65,62,7.0,女性,B,低,オンラインでの協働学習は意見交換がしやすかった。
9,95,92,98,16.0,男性,A,高,デジタルドリルで苦手な計算を繰り返し練習できた。
10,68,72,65,9.0,女性,C,中,情報モラルについてもっと学びたいと思った。
11,75,78,75,11.0,男性,A,中,電子黒板を使った先生の授業が印象に残っている。
12,82,85,80,13.5,女性,B,高,プレゼンテーション作成を通じて表現力が身についた。
13,58,62,55,6.0,男性,C,低,タブレットで調べ学習をするのが楽しかった。
14,90,95,92,15.5,女性,A,高,ICTの授業でプログラミング的思考が身についた。
15,70,75,72,10.5,男性,B,中,オンライン授業は通学時間がなくて効率的だった。
16,85,88,85,14.0,女性,C,高,デジタルポートフォリオで自分の成長を振り返れた。
17,62,68,60,7.5,男性,A,低,タイピング練習のおかげでレポート作成が速くなった。
18,98,96,99,17.0,女性,B,高,ICT活用で友達との情報共有がスムーズになった。
19,50,55,52,4.0,男性,C,低,ネットリテラシーの大切さを実感した。
20,76,80,78,12.0,女性,A,中,シミュレーション教材で理科の実験が面白くなった。
21,84,86,82,13.8,男性,B,高,クラウドでファイル共有できるのが便利だった。
22,66,70,68,8.5,女性,C,中,AIドリルの個別最適化された問題が役に立った。
23,91,90,94,15.2,男性,A,高,オンラインテストで即座に結果が分かるのが良い。
24,53,58,50,5.0,女性,B,低,デジタル教科書は重い荷物が減って助かる。
25,79,83,80,12.8,男性,C,高,Scratchでゲームを作る授業が一番楽しかった。
26,74,77,73,11.5,女性,A,中,情報セキュリティの授業は将来にも役立つと思う。
27,89,91,88,14.8,男性,B,高,遠隔授業で他校の生徒と交流できたのが良い経験だった。
28,61,66,64,7.2,女性,C,低,Wi-Fiが不安定な時は授業が中断して困った。
29,94,93,96,16.5,男性,A,高,データ分析の授業で統計の面白さに気づいた。
30,69,74,68,9.5,女性,B,中,ICTスキルは将来の仕事にも活かせると思う。
